# NAME           	GaiaDR2_G
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	GaiaDR2_G
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.200000000000000000e+02,1.043940239999999927e-08
3.202500000000000000e+02,4.514325700000000183e-08
3.205000000000000000e+02,7.984711149999999442e-08
3.207500000000000000e+02,1.145509659999999738e-07
3.210000000000000000e+02,1.492548210000000079e-07
3.212500000000000000e+02,3.463536560000000019e-07
3.215000000000000000e+02,5.434524920000001053e-07
3.217500000000000000e+02,7.405513279999999971e-07
3.220000000000000000e+02,9.376501639999999947e-07
3.222500000000000000e+02,1.940961580000000104e-06
3.225000000000000000e+02,2.944272999999999805e-06
3.227500000000000000e+02,3.947584419999999929e-06
3.230000000000000000e+02,4.950895839999999629e-06
3.232500000000000000e+02,9.856193740000000341e-06
3.235000000000000000e+02,1.476149159999999921e-05
3.237500000000000000e+02,1.966678950000000077e-05
3.240000000000000000e+02,2.457208739999999894e-05
3.242500000000000000e+02,4.520342080000000251e-05
3.245000000000000000e+02,6.583475420000001286e-05
3.247500000000000000e+02,8.646608760000000287e-05
3.250000000000000000e+02,1.070974210000000064e-04
3.252500000000000000e+02,1.789480280000000051e-04
3.255000000000000000e+02,2.507986350000000037e-04
3.257500000000000000e+02,3.226492420000000023e-04
3.260000000000000000e+02,3.944998490000001094e-04
3.262500000000000000e+02,5.905605479999999352e-04
3.265000000000000000e+02,7.866212470000000321e-04
3.267500000000000000e+02,9.826819459999999121e-04
3.270000000000000000e+02,1.178742640000000029e-03
3.272500000000000000e+02,1.597924450000000069e-03
3.275000000000000000e+02,2.017106260000000109e-03
3.277500000000000000e+02,2.436288070000000149e-03
3.280000000000000000e+02,2.855469880000000189e-03
3.282500000000000000e+02,3.600311990000000083e-03
3.285000000000000000e+02,4.345154090000000018e-03
3.287500000000000000e+02,5.089996190000000385e-03
3.290000000000000000e+02,5.834838289999999886e-03
3.292500000000000000e+02,6.988612530000000433e-03
3.295000000000000000e+02,8.142386770000000981e-03
3.297500000000000000e+02,9.296161009999998059e-03
3.300000000000000000e+02,1.044993519999999967e-02
3.302500000000000000e+02,1.202316550000000032e-02
3.305000000000000000e+02,1.359639569999999964e-02
3.307500000000000000e+02,1.516962600000000029e-02
3.310000000000000000e+02,1.674285619999999961e-02
3.312500000000000000e+02,1.867520469999999974e-02
3.315000000000000000e+02,2.060755330000000121e-02
3.317500000000000000e+02,2.253990180000000135e-02
3.320000000000000000e+02,2.447225039999999935e-02
3.322500000000000000e+02,2.663167589999999862e-02
3.325000000000000000e+02,2.879110140000000137e-02
3.327500000000000000e+02,3.095052690000000065e-02
3.330000000000000000e+02,3.310995249999999779e-02
3.332500000000000000e+02,3.543460269999999801e-02
3.335000000000000000e+02,3.775925299999999957e-02
3.337500000000000000e+02,4.008390330000000112e-02
3.340000000000000000e+02,4.240855350000000135e-02
3.342500000000000000e+02,4.477734280000000150e-02
3.345000000000000000e+02,4.714613200000000032e-02
3.347500000000000000e+02,4.951492119999999914e-02
3.350000000000000000e+02,5.188371049999999929e-02
3.352500000000000000e+02,5.421078730000001428e-02
3.355000000000000000e+02,5.653786410000000151e-02
3.357500000000000000e+02,5.886494090000000262e-02
3.360000000000000000e+02,6.119201769999999679e-02
3.362500000000000000e+02,6.349086869999999438e-02
3.365000000000000000e+02,6.578971969999999891e-02
3.367500000000000000e+02,6.808857070000000344e-02
3.370000000000000000e+02,7.038742169999999410e-02
3.372500000000000000e+02,7.252159760000000122e-02
3.375000000000000000e+02,7.465577360000000273e-02
3.377500000000000000e+02,7.678994960000000425e-02
3.380000000000000000e+02,7.892412559999999189e-02
3.382500000000000000e+02,8.098407829999999807e-02
3.385000000000000000e+02,8.304403109999999866e-02
3.387500000000000000e+02,8.510398380000000484e-02
3.390000000000000000e+02,8.716393660000000543e-02
3.392500000000000000e+02,8.913034649999999892e-02
3.395000000000000000e+02,9.109675640000000629e-02
3.397500000000000000e+02,9.306316630000001366e-02
3.400000000000000000e+02,9.502957619999999328e-02
3.402500000000000000e+02,9.696025539999997278e-02
3.405000000000000000e+02,9.889093459999999391e-02
3.407500000000000000e+02,1.008216140000000038e-01
3.410000000000000000e+02,1.027522929999999945e-01
3.412500000000000000e+02,1.045187709999999964e-01
3.415000000000000000e+02,1.062852489999999983e-01
3.417500000000000000e+02,1.080517269999999863e-01
3.420000000000000000e+02,1.098182050000000021e-01
