# NAME           	TESS
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	TESS
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
5.670000000000000000e+03,0.000000000000000000e+00
5.680000000000000000e+03,1.037599999999999959e-04
5.690000000000000000e+03,1.363199999999999959e-04
5.700000000000000000e+03,1.816599999999999921e-04
5.710000000000000000e+03,2.454600000000000250e-04
5.720000000000000000e+03,3.367399999999999777e-04
5.730000000000000000e+03,4.695799999999999866e-04
5.740000000000000000e+03,6.661500000000000104e-04
5.750000000000000000e+03,9.628100000000000330e-04
5.760000000000000000e+03,1.419700000000000085e-03
5.770000000000000000e+03,2.139400000000000069e-03
5.780000000000000000e+03,3.301600000000000021e-03
5.790000000000000000e+03,5.229000000000000141e-03
5.800000000000000000e+03,8.517500000000000765e-03
5.810000000000000000e+03,1.429399999999999941e-02
5.820000000000000000e+03,2.471599999999999839e-02
5.830000000000000000e+03,4.384500000000000203e-02
5.840000000000000000e+03,7.866900000000000281e-02
5.850000000000000000e+03,1.380800000000000083e-01
5.860000000000000000e+03,2.238900000000000057e-01
5.870000000000000000e+03,3.164699999999999736e-01
5.880000000000000000e+03,3.868099999999999872e-01
5.890000000000000000e+03,4.295900000000000274e-01
5.900000000000000000e+03,4.595699999999999785e-01
5.910000000000000000e+03,4.907000000000000250e-01
5.920000000000000000e+03,5.299199999999999466e-01
5.930000000000000000e+03,5.790899999999999936e-01
5.940000000000000000e+03,6.366399999999999837e-01
5.950000000000000000e+03,6.984200000000000408e-01
5.960000000000000000e+03,7.585499999999999465e-01
5.970000000000000000e+03,8.110199999999999632e-01
5.980000000000000000e+03,8.515700000000000491e-01
5.990000000000000000e+03,8.789900000000000491e-01
6.000000000000000000e+03,8.948599999999999888e-01
6.010000000000000000e+03,9.024600000000000399e-01
6.020000000000000000e+03,9.051000000000000156e-01
6.030000000000000000e+03,9.055100000000000371e-01
6.040000000000000000e+03,9.054699999999999971e-01
6.050000000000000000e+03,9.058800000000000185e-01
6.060000000000000000e+03,9.069800000000000084e-01
6.070000000000000000e+03,9.086300000000000487e-01
6.080000000000000000e+03,9.105100000000000415e-01
6.090000000000000000e+03,9.122799999999999798e-01
6.100000000000000000e+03,9.136999999999999567e-01
6.110000000000000000e+03,9.146499999999999631e-01
6.120000000000000000e+03,9.151799999999999935e-01
6.130000000000000000e+03,9.154099999999999460e-01
6.140000000000000000e+03,9.154600000000000515e-01
6.150000000000000000e+03,9.155100000000000460e-01
6.160000000000000000e+03,9.156900000000000039e-01
6.170000000000000000e+03,9.160800000000000054e-01
6.180000000000000000e+03,9.167300000000000448e-01
6.190000000000000000e+03,9.176100000000000367e-01
6.200000000000000000e+03,9.186699999999999866e-01
6.210000000000000000e+03,9.198399999999999910e-01
6.220000000000000000e+03,9.210000000000000409e-01
6.230000000000000000e+03,9.220800000000000107e-01
6.240000000000000000e+03,9.230000000000000426e-01
6.250000000000000000e+03,9.237199999999999855e-01
6.260000000000000000e+03,9.242299999999999960e-01
6.270000000000000000e+03,9.245499999999999829e-01
6.280000000000000000e+03,9.247300000000000519e-01
6.290000000000000000e+03,9.248199999999999754e-01
6.300000000000000000e+03,9.248899999999999899e-01
6.310000000000000000e+03,9.250099999999999989e-01
6.320000000000000000e+03,9.252200000000000424e-01
6.330000000000000000e+03,9.255700000000000038e-01
6.340000000000000000e+03,9.260800000000000143e-01
6.350000000000000000e+03,9.267300000000000537e-01
6.360000000000000000e+03,9.275200000000000111e-01
6.370000000000000000e+03,9.284099999999999575e-01
6.380000000000000000e+03,9.293599999999999639e-01
6.390000000000000000e+03,9.303099999999999703e-01
6.400000000000000000e+03,9.312300000000000022e-01
6.410000000000000000e+03,9.320699999999999541e-01
6.420000000000000000e+03,9.328100000000000280e-01
6.430000000000000000e+03,9.334400000000000475e-01
6.440000000000000000e+03,9.339499999999999469e-01
6.450000000000000000e+03,9.343500000000000139e-01
6.460000000000000000e+03,9.346700000000000008e-01
6.470000000000000000e+03,9.349399999999999933e-01
